block_order	block_id	file_bytes	rate_mbit	rtt_ms	loss_percent	seed	transport_order
1	b15-16777216-100-100-0.3-5102	16777216	100	100	0.3	5102	tcp-bbr,udp,tcp4-cubic,tcp-cubic
2	b9-16777216-100-20-0-5108	16777216	100	20	0	5108	tcp-cubic,tcp-bbr,tcp4-cubic,udp
3	b20-16777216-100-100-0.3-5107	16777216	100	100	0.3	5107	tcp-bbr,udp,tcp-cubic,tcp4-cubic
4	b30-16777216-100-100-1-5105	16777216	100	100	1	5105	tcp-bbr,tcp4-cubic,tcp-cubic,udp
5	b37-16777216-100-100-1-5112	16777216	100	100	1	5112	tcp-cubic,tcp-bbr,tcp4-cubic,udp
6	b36-16777216-100-100-1-5111	16777216	100	100	1	5111	udp,tcp4-cubic,tcp-cubic,tcp-bbr
7	b18-16777216-100-100-0.3-5105	16777216	100	100	0.3	5105	tcp4-cubic,tcp-cubic,tcp-bbr,udp
8	b32-16777216-100-100-1-5107	16777216	100	100	1	5107	tcp-bbr,tcp4-cubic,udp,tcp-cubic
9	b16-16777216-100-100-0.3-5103	16777216	100	100	0.3	5103	tcp-cubic,tcp-bbr,udp,tcp4-cubic
10	b29-16777216-100-100-1-5104	16777216	100	100	1	5104	udp,tcp-cubic,tcp-bbr,tcp4-cubic
11	b26-16777216-100-100-1-5101	16777216	100	100	1	5101	tcp4-cubic,udp,tcp-cubic,tcp-bbr
12	b10-16777216-100-20-0-5109	16777216	100	20	0	5109	tcp-bbr,tcp-cubic,udp,tcp4-cubic
13	b14-16777216-100-100-0.3-5101	16777216	100	100	0.3	5101	tcp4-cubic,tcp-bbr,udp,tcp-cubic
14	b2-16777216-100-20-0-5101	16777216	100	20	0	5101	tcp-cubic,udp,tcp4-cubic,tcp-bbr
15	b7-16777216-100-20-0-5106	16777216	100	20	0	5106	tcp-bbr,udp,tcp4-cubic,tcp-cubic
16	b27-16777216-100-100-1-5102	16777216	100	100	1	5102	tcp4-cubic,tcp-cubic,udp,tcp-bbr
17	b24-16777216-100-100-0.3-5111	16777216	100	100	0.3	5111	tcp-cubic,tcp-bbr,udp,tcp4-cubic
18	b19-16777216-100-100-0.3-5106	16777216	100	100	0.3	5106	udp,tcp-cubic,tcp4-cubic,tcp-bbr
19	b23-16777216-100-100-0.3-5110	16777216	100	100	0.3	5110	tcp-cubic,tcp4-cubic,tcp-bbr,udp
20	b34-16777216-100-100-1-5109	16777216	100	100	1	5109	tcp4-cubic,tcp-cubic,tcp-bbr,udp
21	b5-16777216-100-20-0-5104	16777216	100	20	0	5104	tcp4-cubic,udp,tcp-cubic,tcp-bbr
22	b21-16777216-100-100-0.3-5108	16777216	100	100	0.3	5108	tcp-bbr,udp,tcp4-cubic,tcp-cubic
23	b31-16777216-100-100-1-5106	16777216	100	100	1	5106	tcp-cubic,tcp-bbr,udp,tcp4-cubic
24	b17-16777216-100-100-0.3-5104	16777216	100	100	0.3	5104	udp,tcp4-cubic,tcp-cubic,tcp-bbr
25	b35-16777216-100-100-1-5110	16777216	100	100	1	5110	tcp-cubic,udp,tcp-bbr,tcp4-cubic
26	b6-16777216-100-20-0-5105	16777216	100	20	0	5105	udp,tcp4-cubic,tcp-cubic,tcp-bbr
27	b25-16777216-100-100-0.3-5112	16777216	100	100	0.3	5112	tcp4-cubic,tcp-cubic,tcp-bbr,udp
28	b12-16777216-100-20-0-5111	16777216	100	20	0	5111	tcp-cubic,tcp-bbr,udp,tcp4-cubic
29	b13-16777216-100-20-0-5112	16777216	100	20	0	5112	tcp-bbr,tcp4-cubic,udp,tcp-cubic
30	b11-16777216-100-20-0-5110	16777216	100	20	0	5110	udp,tcp-cubic,tcp-bbr,tcp4-cubic
31	b8-16777216-100-20-0-5107	16777216	100	20	0	5107	tcp4-cubic,tcp-bbr,tcp-cubic,udp
32	b28-16777216-100-100-1-5103	16777216	100	100	1	5103	udp,tcp-bbr,tcp4-cubic,tcp-cubic
33	b3-16777216-100-20-0-5102	16777216	100	20	0	5102	udp,tcp4-cubic,tcp-bbr,tcp-cubic
34	b4-16777216-100-20-0-5103	16777216	100	20	0	5103	tcp4-cubic,tcp-cubic,tcp-bbr,udp
35	b33-16777216-100-100-1-5108	16777216	100	100	1	5108	tcp-bbr,udp,tcp4-cubic,tcp-cubic
36	b22-16777216-100-100-0.3-5109	16777216	100	100	0.3	5109	udp,tcp4-cubic,tcp-cubic,tcp-bbr
