block	order	case	file_bytes	rate_mbit	rtt_ms	loss_percent	seed	jitter_ms	duplicate_percent	reorder_percent	queue_packets	send_rate_mbit
1	1	reorder	16777216	100	100	0.3	5104	0	0	10	10000	100
1	2	jitter	16777216	100	100	0.3	5102	20	0	0	10000	100
1	3	duplicate	16777216	100	100	0.3	5103	0	5	0	10000	100
1	4	combined	16777216	100	100	3.0	5105	20	2	10	10000	100
1	5	loss3	16777216	100	100	3.0	5101	0	0	0	10000	100
1	6	oversubscribed	16777216	100	20	0	5106	0	0	0	128	125
2	1	jitter	16777216	100	100	0.3	5102	20	0	0	10000	100
2	2	duplicate	16777216	100	100	0.3	5103	0	5	0	10000	100
2	3	loss3	16777216	100	100	3.0	5101	0	0	0	10000	100
2	4	reorder	16777216	100	100	0.3	5104	0	0	10	10000	100
2	5	oversubscribed	16777216	100	20	0	5106	0	0	0	128	125
2	6	combined	16777216	100	100	3.0	5105	20	2	10	10000	100
